
> oshikoyo@1.0.0 serve
> npx serve . -p 8081

 INFO  Accepting connections at http://localhost:8081
 HTTP  3/8/2026 6:34:28 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 4 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /
 HTTP  3/8/2026 6:34:28 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 6 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /
 HTTP  3/8/2026 6:34:28 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 5 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:28 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:31 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:31 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:31 PM ::1 GET /index
 HTTP  3/8/2026 6:34:31 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:31 PM ::1 GET /
 HTTP  3/8/2026 6:34:31 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:31 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:31 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:31 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:31 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 5 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:32 PM ::1 GET /
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 4 ms
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 4 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 3 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /index
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 3 ms
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /
 HTTP  3/8/2026 6:34:32 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:32 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:32 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:35 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:35 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:35 PM ::1 GET /index
 HTTP  3/8/2026 6:34:35 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:35 PM ::1 GET /
 HTTP  3/8/2026 6:34:35 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:35 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:35 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:35 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:35 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 GET /
 HTTP  3/8/2026 6:34:36 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:36 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 GET /
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:36 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:36 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:36 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:37 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:37 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:37 PM ::1 GET /index
 HTTP  3/8/2026 6:34:37 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:37 PM ::1 GET /
 HTTP  3/8/2026 6:34:37 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:37 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:37 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:37 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:37 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /
 HTTP  3/8/2026 6:34:38 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:38 PM ::1 GET /
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 304 in 3 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:38 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:38 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /index
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 7 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:40 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 5 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 2 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 0 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 14 ms
 HTTP  3/8/2026 6:34:40 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:40 PM ::1 Returned 304 in 1 ms
 HTTP  3/8/2026 6:34:46 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:46 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:46 PM ::1 GET /index
 HTTP  3/8/2026 6:34:46 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:46 PM ::1 GET /
 HTTP  3/8/2026 6:34:46 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:46 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:46 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:46 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:46 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:46 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:46 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:47 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /
 HTTP  3/8/2026 6:34:47 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 3 ms
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:47 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:47 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /index
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:47 PM ::1 GET /
 HTTP  3/8/2026 6:34:47 PM ::1 Returned 200 in 9 ms
 HTTP  3/8/2026 6:34:50 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:50 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:50 PM ::1 GET /index
 HTTP  3/8/2026 6:34:50 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:50 PM ::1 GET /
 HTTP  3/8/2026 6:34:50 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:50 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:50 PM ::1 Returned 200 in 5 ms
 HTTP  3/8/2026 6:34:50 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:50 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:50 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:50 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /index.html
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:34:51 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 3 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 4 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:34:51 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:34:51 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 7 ms
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 6 ms
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 16 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /index
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 301 in 0 ms
 HTTP  3/8/2026 6:34:51 PM ::1 GET /
 HTTP  3/8/2026 6:34:51 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:35:00 PM ::1 GET /index.html
 HTTP  3/8/2026 6:35:00 PM ::1 Returned 301 in 7 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /index
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 301 in 1 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 0 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /sw.js
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 1 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /
 HTTP  3/8/2026 6:35:01 PM ::1 GET /index.html
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 301 in 3 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/style.css
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 5 ms
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /manifest.json
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 17 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/script.js
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 2 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/assets/default_image.png
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 13 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/assets/icon-192.png
 HTTP  3/8/2026 6:35:01 PM ::1 Returned 200 in 10 ms
 HTTP  3/8/2026 6:35:01 PM ::1 GET /src/assets/icon-512.png
 HTTP  3/8/2026 6:35:01 PM ::1 GET /index
