
> oshikoyo@1.0.0 serve
> npx serve . -p 8081

 INFO  Accepting connections at http://localhost:41097
 HTTP  3/17/2026 11:52:01 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:01 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:01 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:52:01 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:52:01 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:01 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 301 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:52:03 AM 127.0.0.1 Returned 304 in 5 ms
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 Returned 200 in 12 ms
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:52:10 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 7 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 9 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 9 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 15 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 17 ms
 HTTP  3/17/2026 11:52:11 AM 127.0.0.1 Returned 200 in 17 ms
 HTTP  3/17/2026 11:52:12 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 11:52:12 AM 127.0.0.1 Returned 200 in 15 ms
 HTTP  3/17/2026 11:52:12 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 11:52:12 AM 127.0.0.1 Returned 301 in 7 ms
 HTTP  3/17/2026 11:52:13 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:13 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/assets/default_image.png
